,Gene,human,mouse
1580,C1QL4,0.147766323,0.049450549
2006,CCNF,0.120274914,0.093406593
3680,DNAJC27,0.140893471,0.10989011
3999,EFNA4,0.109965636,0.054945055
4149,EMILIN1,0.147766323,0.10989011
4321,ESPL1,0.127147766,0.071428571
4361,EVI2A,0.137457045,0.076923077
4686,FBXO5,0.144329897,0.093406593
5225,GEMIN4,0.144329897,0.104395604
5328,GLCE,0.12371134,0.06043956
5547,GPR183,0.130584192,0.076923077
5780,H2AC21,0.109965636,0.104395604
5857,HASPIN,0.147766323,0.082417582
5991,HILPDA,0.103092784,0.10989011
6405,IGSF10,0.137457045,0.087912088
6510,IMMP2L,0.147766323,0.093406593
7385,LFNG,0.092783505,0.104395604
7463,LIPT2,0.079037801,0.087912088
7833,MAMSTR,0.12371134,0.104395604
8175,MFSD2A,0.134020619,0.104395604
8827,NANP,0.113402062,0.076923077
8992,NEIL3,0.137457045,0.06043956
10054,PET117,0.127147766,0.087912088
10136,PHETA2,0.137457045,0.104395604
10203,PIF1,0.089347079,0.087912088
10207,PIGBOS1,0.144329897,0.10989011
10254,PINLYP,0.147766323,0.098901099
10417,PLK1,0.147766323,0.087912088
10906,PRR22,0.134020619,0.087912088
11175,PYM1,0.130584192,0.098901099
13305,SPAG8,0.140893471,0.071428571
13518,SSMEM1,0.134020619,0.038461538
14107,TEX38,0.127147766,0.082417582
14228,TIGD5,0.127147766,0.10989011
14559,TMEM89,0.120274914,0.010989011
14996,TRMT5,0.147766323,0.082417582
15054,TSKU,0.144329897,0.104395604
