GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,SLAM-seq-up,SLAM-seq-down,SLAM-seq-all,TTchem-seq-up,TTchem-seq-down,TTchem-seq-all,TT-seq-up,TT-seq-down,TT-seq-all,4sU-seq-up,4sU-seq-down,4sU-seq-all,MeRIP-seq-up,MeRIP-seq-down,MeRIP-seq-all,m1A-seq-up,m1A-seq-down,m1A-seq-all,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,m6Am-seq-up,m6Am-seq-down,m6Am-seq-all,mNET-seq-up,mNET-seq-down,mNET-seq-all,PRO-seq-up,PRO-seq-down,PRO-seq-all,all(check),all,unchange_RNA-seq,HN5_RNA-seq,unchange_SLAM-seq,HN5_SLAM-seq,unchange_TTchem-seq,HN5_TTchem-seq,unchange_TT-seq,HN5_TT-seq,unchange_4sU-seq,HN5_4sU-seq,unchange_MeRIP-seq,HN5_MeRIP-seq,unchange_m1A-seq,HN5_m1A-seq,unchange_Ribo-seq,HN5_Ribo-seq,unchange_m6Am-seq,HN5_m6Am-seq,unchange_mNET-seq,HN5_mNET-seq,unchange_PRO-seq,HN5_PRO-seq,Total_HN-score
HSPA6,156,1,192,2,0,11,32,0,34,6,0,8,27,0,31,3,0,3,2,0,2,2,0,6,7,0,7,2,0,4,8,1,24,322,322,35,155,9,2,2,32,2,6,4,27,0,3,0,2,4,2,0,7,2,2,15,7,245
HSPA1A,146,0,192,0,0,11,32,0,34,8,0,8,27,0,31,3,0,3,2,0,2,5,0,6,6,0,7,3,0,4,8,1,24,322,322,46,146,11,0,2,32,0,8,4,27,0,3,0,2,1,5,1,6,1,3,15,7,239
HSPA1B,147,0,192,0,0,11,32,0,34,8,0,8,27,0,31,2,0,3,2,0,2,4,1,6,0,0,7,3,0,4,8,1,24,322,322,45,147,11,0,2,32,0,8,4,27,1,2,0,2,1,3,7,0,1,3,15,7,231
DNAJB1,135,1,192,0,0,11,25,0,34,6,0,8,27,0,31,2,0,3,2,0,2,4,0,6,1,0,7,2,0,4,8,1,24,322,322,56,134,11,0,9,25,2,6,4,27,1,2,0,2,2,4,6,1,2,2,15,7,210
BAG3,112,1,192,1,0,11,23,0,34,6,0,8,27,0,31,3,0,3,2,0,2,2,0,6,0,0,7,0,0,4,6,0,24,322,322,79,111,10,1,11,23,2,6,4,27,0,3,0,2,4,2,7,0,4,0,18,6,181
PNLDC1,107,0,192,0,1,11,22,0,34,6,0,8,28,0,31,2,0,3,2,0,2,0,0,6,2,0,7,2,0,4,6,1,24,322,322,85,107,10,-1,12,22,2,6,3,28,1,2,0,2,6,0,5,2,2,2,17,5,175
CRYAB,101,0,192,1,0,11,19,0,34,3,0,8,27,0,31,2,0,3,1,0,2,3,0,6,7,0,7,2,0,4,8,1,24,322,322,91,101,10,1,15,19,5,3,4,27,1,2,1,1,3,3,0,7,2,2,15,7,173
HSPH1,90,0,192,0,0,11,19,0,34,6,0,8,25,0,31,3,0,3,2,0,2,4,0,6,7,0,7,3,0,4,8,0,24,322,322,102,90,11,0,15,19,2,6,6,25,0,3,0,2,2,4,0,7,1,3,16,8,167
FOS,110,5,192,0,1,11,23,0,34,0,0,8,27,0,31,2,0,3,0,0,2,1,0,6,1,1,7,0,0,4,8,0,24,322,322,77,105,10,-1,11,23,8,0,4,27,1,2,2,0,5,1,5,0,4,0,16,8,165
ZFAND2A,99,2,192,0,0,11,21,0,34,4,0,8,27,0,31,2,0,3,2,0,2,3,0,6,1,0,7,2,0,4,7,1,24,322,322,91,97,11,0,13,21,4,4,4,27,1,2,0,2,3,3,6,1,2,2,16,6,165
RRAD,103,2,192,1,1,11,20,0,34,1,1,8,23,0,31,2,0,3,1,0,2,1,0,6,0,0,7,0,0,4,7,0,24,322,322,87,101,9,0,14,20,6,0,8,23,1,2,1,1,5,1,7,0,4,0,17,7,155
LTA,97,1,192,1,0,11,22,0,34,2,0,8,24,0,31,0,0,3,2,0,2,0,0,6,0,0,7,2,0,4,6,1,24,322,322,94,96,10,1,12,22,6,2,7,24,3,0,0,2,6,0,7,0,2,2,17,5,154
HSPA1L,96,1,192,0,0,11,11,0,34,2,0,8,26,0,31,2,0,3,2,0,2,2,0,6,2,0,7,1,0,4,7,0,24,322,322,95,95,11,0,23,11,6,2,5,26,1,2,0,2,4,2,5,2,3,1,17,7,150
DNAJB4,90,0,192,0,0,11,21,0,34,0,0,8,24,1,31,1,0,3,2,0,2,5,0,6,0,0,7,0,0,4,7,0,24,322,322,102,90,11,0,13,21,8,0,6,23,2,1,0,2,1,5,7,0,4,0,17,7,149
DEDD2,91,2,192,0,0,11,21,0,34,6,0,8,22,1,31,1,0,3,2,0,2,2,0,6,0,0,7,0,0,4,1,0,24,322,322,99,89,11,0,13,21,2,6,8,21,2,1,0,2,4,2,7,0,4,0,23,1,143
DCAF4L1,87,0,192,0,0,11,25,0,34,2,0,8,21,0,31,3,0,3,2,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,105,87,11,0,9,25,6,2,10,21,0,3,0,2,6,0,7,0,4,0,23,1,141
PGF,82,0,192,1,2,11,29,0,34,1,0,8,25,0,31,0,0,3,2,0,2,0,0,6,0,0,7,3,0,4,1,1,24,322,322,110,82,8,-1,5,29,7,1,6,25,3,0,0,2,6,0,7,0,1,3,22,0,141
IER5,88,0,192,0,0,11,19,0,34,1,0,8,23,0,31,2,0,3,1,0,2,2,0,6,0,0,7,2,0,4,2,0,24,322,322,104,88,11,0,15,19,7,1,8,23,1,2,1,1,4,2,7,0,2,2,22,2,140
HBA2,111,5,192,4,0,11,4,3,34,0,0,8,18,1,31,3,0,3,2,0,2,1,1,6,1,0,7,0,0,4,5,0,24,322,322,76,106,7,4,27,1,8,0,12,17,0,3,0,2,4,0,6,1,4,0,19,5,139
FKBP4,59,1,192,0,0,11,24,0,34,5,0,8,27,1,31,2,0,3,1,0,2,2,0,6,3,0,7,0,0,4,9,1,24,322,322,132,58,11,0,10,24,3,5,3,26,1,2,1,1,4,2,4,3,4,0,14,8,129
MIA,73,10,192,0,1,11,26,0,34,5,0,8,23,0,31,3,0,3,2,0,2,0,0,6,2,0,7,4,0,4,2,2,24,322,322,109,63,10,-1,8,26,3,5,8,23,0,3,0,2,6,0,5,2,0,4,20,0,127
TENT5A,75,0,192,0,0,11,20,0,34,0,0,8,23,2,31,0,0,3,1,0,2,2,0,6,0,0,7,1,0,4,7,0,24,322,322,117,75,11,0,14,20,8,0,6,21,3,0,1,1,4,2,7,0,3,1,17,7,127
ACTRT3,61,0,192,0,1,11,26,0,34,4,0,8,27,2,31,2,0,3,2,0,2,2,0,6,0,0,7,0,0,4,5,0,24,322,322,131,61,10,-1,8,26,4,4,2,25,1,2,0,2,4,2,7,0,4,0,19,5,126
RGS2,83,5,192,1,0,11,21,0,34,3,0,8,15,2,31,1,0,3,1,0,2,2,0,6,0,0,7,0,0,4,3,1,24,322,322,104,78,10,1,13,21,5,3,14,13,2,1,1,1,4,2,7,0,4,0,20,2,122
VHLL,68,2,192,0,0,11,23,0,34,1,0,8,25,0,31,2,0,3,2,0,2,0,0,6,2,0,7,0,0,4,1,1,24,322,322,122,66,11,0,11,23,7,1,6,25,1,2,0,2,6,0,5,2,4,0,22,0,121
TEX43,74,7,192,1,1,11,22,0,34,1,1,8,25,0,31,0,0,3,0,0,2,0,0,6,0,0,7,3,0,4,3,1,24,322,322,111,67,9,0,12,22,6,0,6,25,3,0,2,0,6,0,7,0,1,3,20,2,119
SERPINH1,66,0,192,0,0,11,17,0,34,2,0,8,15,0,31,3,0,3,2,0,2,4,0,6,1,0,7,2,0,4,8,1,24,322,322,126,66,11,0,17,17,6,2,16,15,0,3,0,2,2,4,6,1,2,2,15,7,119
FOSB,83,7,192,1,0,11,13,0,34,0,0,8,22,0,31,1,0,3,0,0,2,0,0,6,0,0,7,0,0,4,5,0,24,322,322,102,76,10,1,21,13,8,0,9,22,2,1,2,0,6,0,7,0,4,0,19,5,118
RFPL2,96,1,192,0,0,11,0,0,34,0,0,8,14,0,31,2,0,3,1,0,2,0,0,6,1,1,7,0,0,4,5,0,24,322,322,95,95,11,0,34,0,8,0,17,14,1,2,1,1,6,0,5,0,4,0,19,5,117
FBLL1,67,0,192,1,0,11,20,0,34,2,1,8,24,0,31,2,0,3,2,0,2,0,0,6,0,3,7,2,0,4,0,0,24,322,322,125,67,10,1,14,20,5,1,7,24,1,2,0,2,6,0,4,-3,2,2,24,0,116
LSMEM1,70,2,192,1,0,11,19,0,34,0,0,8,20,0,31,1,1,3,1,0,2,0,0,6,1,0,7,0,0,4,3,0,24,322,322,120,68,10,1,15,19,8,0,11,20,1,0,1,1,6,0,6,1,4,0,21,3,113
CCDC121,50,1,192,2,0,11,21,0,34,5,0,8,27,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,8,0,24,322,322,141,49,9,2,13,21,3,5,4,27,3,0,1,1,6,0,7,0,4,0,16,8,113
HSPB1,59,3,192,1,0,11,15,0,34,2,0,8,19,0,31,3,0,3,1,0,2,4,0,6,1,0,7,2,0,4,8,0,24,322,322,130,56,10,1,19,15,6,2,12,19,0,3,1,1,2,4,6,1,2,2,16,8,112
NHLH1,60,1,192,1,0,11,19,0,34,0,0,8,26,0,31,0,0,3,2,0,2,0,0,6,1,0,7,0,0,4,3,0,24,322,322,131,59,10,1,15,19,8,0,5,26,3,0,0,2,6,0,6,1,4,0,21,3,111
CCDC81,42,0,192,0,0,11,27,0,34,6,0,8,25,0,31,3,0,3,1,0,2,0,0,6,0,0,7,0,0,4,6,1,24,322,322,150,42,11,0,7,27,2,6,6,25,0,3,1,1,6,0,7,0,4,0,17,5,109
TULP2,72,5,192,1,0,11,20,4,34,0,0,8,23,1,31,0,1,3,2,0,2,0,0,6,1,2,7,0,0,4,3,1,24,322,322,115,67,10,1,10,16,8,0,7,22,2,-1,0,2,6,0,4,-1,4,0,20,2,108
DNAJA4,81,1,192,1,0,11,3,3,34,0,0,8,19,0,31,3,0,3,2,0,2,0,0,6,1,0,7,0,0,4,0,0,24,322,322,110,80,10,1,28,0,8,0,12,19,0,3,0,2,6,0,6,1,4,0,24,0,106
EGR2,74,2,192,0,0,11,16,0,34,0,1,8,9,0,31,0,1,3,0,0,2,0,0,6,1,0,7,0,0,4,8,0,24,322,322,116,72,11,0,18,16,7,-1,22,9,2,-1,2,0,6,0,6,1,4,0,16,8,104
ALOXE3,39,0,192,0,0,11,27,0,34,0,0,8,27,0,31,2,0,3,0,0,2,0,0,6,1,0,7,2,0,4,2,0,24,322,322,153,39,11,0,7,27,8,0,4,27,1,2,2,0,6,0,6,1,2,2,22,2,100
HSPB8,45,1,192,4,0,11,23,0,34,0,0,8,25,1,31,0,0,3,2,0,2,0,0,6,4,0,7,0,0,4,0,1,24,322,322,146,44,7,4,11,23,8,0,5,24,3,0,0,2,6,0,3,4,4,0,23,-1,100
C2orf66,53,1,192,0,0,11,20,0,34,4,0,8,20,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,4,1,24,322,322,138,52,11,0,14,20,4,4,11,20,3,0,1,1,6,0,7,0,4,0,19,3,100
TMEM95,37,1,192,0,0,11,19,0,34,2,0,8,28,0,31,2,0,3,2,0,2,0,0,6,0,0,7,1,0,4,9,0,24,322,322,154,36,11,0,15,19,6,2,3,28,1,2,0,2,6,0,7,0,3,1,15,9,99
LCN10,74,1,192,0,2,11,11,0,34,1,0,8,8,0,31,3,0,3,2,0,2,0,0,6,0,0,7,1,0,4,4,3,24,322,322,117,73,9,-2,23,11,7,1,23,8,0,3,0,2,6,0,7,0,3,1,17,1,98
PCSK5,47,7,192,0,0,11,27,0,34,0,0,8,24,0,31,0,0,3,2,0,2,0,0,6,0,0,7,1,0,4,4,0,24,322,322,138,40,11,0,7,27,8,0,7,24,3,0,0,2,6,0,7,0,3,1,20,4,98
ADCY10,56,0,192,0,1,11,20,0,34,4,0,8,15,1,31,3,0,3,2,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,136,56,10,-1,14,20,4,4,15,14,0,3,0,2,6,0,7,0,4,0,23,-1,97
HSPA4L,53,0,192,0,0,11,8,0,34,1,0,8,26,0,31,3,0,3,2,0,2,0,0,6,0,0,7,0,0,4,3,0,24,322,322,139,53,11,0,26,8,7,1,5,26,0,3,0,2,6,0,7,0,4,0,21,3,96
