GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Hspa1b,119,2,169,0,0,9,2,0,2,48,117,9,0,0,2,18,1,34,15,17,8,0,8,0,8,5,0,20,15,5,242,149
Hspa1a,120,1,169,0,0,9,1,0,2,48,119,9,0,1,1,15,2,34,17,13,0,0,8,8,0,4,0,20,16,4,242,137
Hspb1,92,1,169,0,0,9,0,0,2,76,91,9,0,2,0,14,0,34,20,14,2,0,8,6,2,4,0,20,16,4,242,111
Gm20481,84,7,169,0,0,9,0,0,2,78,77,9,0,2,0,6,0,34,28,6,3,0,8,5,3,2,0,20,18,2,242,88
Atf3,65,2,169,0,0,9,0,0,2,102,63,9,0,2,0,11,1,34,22,10,5,0,8,3,5,0,0,20,20,0,242,78
Dnajb1,58,0,169,0,0,9,2,0,2,111,58,9,0,0,2,7,0,34,27,7,2,0,8,6,2,2,0,20,18,2,242,71
Hsph1,51,0,169,1,0,9,1,0,2,118,51,8,1,1,1,10,2,34,22,8,0,0,8,8,0,3,0,20,17,3,242,64
Bag3,47,0,169,0,0,9,0,0,2,122,47,9,0,2,0,4,2,34,28,2,0,0,8,8,0,2,0,20,18,2,242,51
Fos,48,8,169,0,0,9,0,0,2,113,40,9,0,2,0,11,0,34,23,11,0,0,8,8,0,0,0,20,20,0,242,51
Edn1,38,0,169,0,0,9,0,0,2,131,38,9,0,2,0,6,1,34,27,5,1,0,8,7,1,1,0,20,19,1,242,45
Egr1,42,6,169,0,0,9,0,0,2,121,36,9,0,2,0,9,1,34,24,8,0,0,8,8,0,0,0,20,20,0,242,44
Phlda1,40,0,169,0,0,9,0,0,2,129,40,9,0,2,0,1,1,34,32,0,0,0,8,8,0,2,0,20,18,2,242,42
Ccnb1ip1,54,9,169,0,0,9,0,0,2,106,45,9,0,2,0,1,3,34,30,-2,0,0,8,8,0,2,7,20,11,-5,242,38
Hsp90aa1,29,1,169,0,1,9,2,0,2,139,28,8,-1,0,2,6,0,34,28,6,0,0,8,8,0,2,0,20,18,2,242,37
Hspb8,36,0,169,0,0,9,0,0,2,133,36,9,0,2,0,3,3,34,28,0,0,0,8,8,0,0,0,20,20,0,242,36
Kcnk4,25,2,169,0,1,9,0,0,2,142,23,8,-1,2,0,12,2,34,20,10,0,0,8,8,0,3,0,20,17,3,242,35
Best2,21,0,169,0,0,9,0,0,2,148,21,9,0,2,0,14,0,34,20,14,0,0,8,8,0,0,0,20,20,0,242,35
Dnaja4,38,0,169,0,0,9,1,0,2,131,38,9,0,1,1,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,35
Fgf21,31,4,169,0,0,9,0,0,2,134,27,9,0,2,0,5,0,34,29,5,0,0,8,8,0,1,0,20,19,1,242,33
Xirp1,32,5,169,0,0,9,0,0,2,132,27,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,33
Gm44505,24,11,169,0,0,9,2,0,2,134,13,9,0,0,2,17,0,34,17,17,0,0,8,8,0,0,0,20,20,0,242,32
Hspa1l,37,1,169,0,0,9,0,0,2,131,36,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,2,0,20,18,2,242,32
