GeneName,44℃:120min.-up,44℃:120min.-down,44℃:120min.-all,43℃:60min.-up,43℃:60min.-down,43℃:60min.-all,45℃:30min.-up,45℃:30min.-down,45℃:30min.-all,42℃:60min.-up,42℃:60min.-down,42℃:60min.-all,43℃:30min.-up,43℃:30min.-down,43℃:30min.-all,39℃:1440min.-up,39℃:1440min.-down,39℃:1440min.-all,42℃:30min.-up,42℃:30min.-down,42℃:30min.-all,42.5℃:60min.-up,42.5℃:60min.-down,42.5℃:60min.-all,45℃(+/-0.2):30min.-up,45℃(+/-0.2):30min.-down,45℃(+/-0.2):30min.-all,41.5℃:420min.-up,41.5℃:420min.-down,41.5℃:420min.-all,42℃:240min.-up,42℃:240min.-down,42℃:240min.-all,42℃:160min.-up,42℃:160min.-down,42℃:160min.-all,42℃:45min.-up,42℃:45min.-down,42℃:45min.-all,39℃:240min.-up,39℃:240min.-down,39℃:240min.-all,43℃:120min.-up,43℃:120min.-down,43℃:120min.-all,43℃:180min.-up,43℃:180min.-down,43℃:180min.-all,42℃:15min.-up,42℃:15min.-down,42℃:15min.-all,43℃:105min.-up,43℃:105min.-down,43℃:105min.-all,44℃:60min.-up,44℃:60min.-down,44℃:60min.-all,42℃:65min.-up,42℃:65min.-down,42℃:65min.-all,43℃:240min.-up,43℃:240min.-down,43℃:240min.-all,42℃:9×60min.-up,42℃:9×60min.-down,42℃:9×60min.-all,all(check),all,unchange_44℃:120min.,HN5_44℃:120min.,unchange_43℃:60min.,HN5_43℃:60min.,unchange_45℃:30min.,HN5_45℃:30min.,unchange_42℃:60min.,HN5_42℃:60min.,unchange_43℃:30min.,HN5_43℃:30min.,unchange_39℃:1440min.,HN5_39℃:1440min.,unchange_42℃:30min.,HN5_42℃:30min.,unchange_42.5℃:60min.,HN5_42.5℃:60min.,unchange_45℃(+/-0.2):30min.,HN5_45℃(+/-0.2):30min.,unchange_41.5℃:420min.,HN5_41.5℃:420min.,unchange_42℃:240min.,HN5_42℃:240min.,unchange_42℃:160min.,HN5_42℃:160min.,unchange_42℃:45min.,HN5_42℃:45min.,unchange_39℃:240min.,HN5_39℃:240min.,unchange_43℃:120min.,HN5_43℃:120min.,unchange_43℃:180min.,HN5_43℃:180min.,unchange_42℃:15min.,HN5_42℃:15min.,unchange_43℃:105min.,HN5_43℃:105min.,unchange_44℃:60min.,HN5_44℃:60min.,unchange_42℃:65min.,HN5_42℃:65min.,unchange_43℃:240min.,HN5_43℃:240min.,unchange_42℃:9×60min.,HN5_42℃:9×60min.,Total_HN-score
HSPA1A,17,0,18,13,0,13,0,0,3,66,1,92,9,0,22,8,0,11,12,0,16,12,0,12,11,0,18,5,0,6,3,0,3,3,0,3,11,0,12,0,0,6,40,0,41,2,0,2,3,0,6,11,0,15,8,0,8,4,0,5,2,0,2,0,0,8,322,322,1,17,0,13,3,0,25,65,13,9,3,8,4,12,0,12,7,11,1,5,0,3,0,3,1,11,6,0,1,40,0,2,3,3,4,11,0,8,1,4,0,2,8,0,239
HSPA1B,16,1,18,10,0,13,1,0,3,72,1,92,11,0,22,1,0,11,12,0,16,12,0,12,15,0,18,5,0,6,2,0,3,3,0,3,11,0,12,0,0,6,34,0,41,1,0,2,3,0,6,11,0,15,8,0,8,3,0,5,2,0,2,0,0,8,322,322,1,15,3,10,2,1,19,71,11,11,10,1,4,12,0,12,3,15,1,5,1,2,0,3,1,11,6,0,7,34,1,1,3,3,4,11,0,8,2,3,0,2,8,0,231
DNAJB1,16,0,18,10,0,13,3,0,3,72,1,92,9,0,22,0,0,11,11,0,16,12,0,12,10,1,18,5,0,6,2,0,3,2,0,3,5,0,12,0,0,6,30,0,41,1,0,2,0,0,6,11,0,15,8,0,8,3,0,5,2,0,2,0,0,8,322,322,2,16,3,10,0,3,19,71,13,9,11,0,5,11,0,12,7,9,1,5,1,2,1,2,7,5,6,0,11,30,1,1,6,0,4,11,0,8,2,3,0,2,8,0,210
BAG3,14,0,18,11,0,13,0,0,3,66,0,92,10,0,22,0,0,11,6,0,16,7,0,12,7,0,18,3,0,6,2,0,3,3,0,3,6,1,12,0,0,6,25,0,41,1,0,2,0,0,6,11,0,15,8,0,8,0,0,5,2,0,2,0,0,8,322,322,4,14,2,11,3,0,26,66,12,10,11,0,10,6,5,7,11,7,3,3,1,2,0,3,5,5,6,0,16,25,1,1,6,0,4,11,0,8,5,0,0,2,8,0,181
CRYAB,15,0,18,8,0,13,0,0,3,49,1,92,11,0,22,3,0,11,6,0,16,7,0,12,12,0,18,1,0,6,2,0,3,2,0,3,11,0,12,0,0,6,25,0,41,1,0,2,0,0,6,11,0,15,8,0,8,1,0,5,1,0,2,0,0,8,322,322,3,15,5,8,3,0,42,48,11,11,8,3,10,6,5,7,6,12,5,1,1,2,1,2,1,11,6,0,16,25,1,1,6,0,4,11,0,8,4,1,1,1,8,0,173
HSPH1,16,0,18,11,0,13,0,0,3,52,0,92,7,0,22,1,0,11,8,0,16,6,0,12,8,0,18,5,0,6,1,0,3,3,0,3,3,0,12,0,0,6,24,0,41,1,0,2,1,0,6,9,0,15,8,0,8,1,0,5,2,0,2,0,0,8,322,322,2,16,2,11,3,0,40,52,15,7,10,1,8,8,6,6,10,8,1,5,2,1,0,3,9,3,6,0,17,24,1,1,5,1,6,9,0,8,4,1,0,2,8,0,167
FOS,13,0,18,8,0,13,0,0,3,69,1,92,7,1,22,2,0,11,0,0,16,12,0,12,9,0,18,3,0,6,1,0,3,2,0,3,1,4,12,0,0,6,25,1,41,1,0,2,0,0,6,11,0,15,8,0,8,0,0,5,0,0,2,0,0,8,322,322,5,13,5,8,3,0,22,68,14,6,9,2,16,0,0,12,9,9,3,3,2,1,1,2,7,-3,6,0,15,24,1,1,6,0,4,11,0,8,5,0,2,0,8,0,165
ZFAND2A,13,0,18,5,0,13,0,0,3,62,2,92,8,0,22,0,0,11,6,0,16,12,0,12,6,0,18,3,0,6,0,0,3,3,0,3,2,1,12,0,0,6,27,0,41,0,0,2,0,0,6,11,0,15,8,0,8,0,0,5,2,0,2,0,0,8,322,322,5,13,8,5,3,0,28,60,14,8,11,0,10,6,0,12,12,6,3,3,3,0,0,3,9,1,6,0,14,27,2,0,6,0,4,11,0,8,5,0,0,2,8,0,165
RRAD,13,0,18,6,0,13,1,0,3,68,0,92,10,1,22,3,0,11,2,1,16,12,0,12,1,0,18,0,0,6,2,0,3,2,0,3,4,1,12,1,0,6,17,0,41,1,0,2,0,1,6,7,0,15,8,0,8,0,0,5,1,0,2,0,0,8,322,322,5,13,7,6,2,1,24,68,11,9,8,3,13,1,0,12,17,1,6,0,1,2,1,2,7,3,5,1,24,17,1,1,5,-1,8,7,0,8,5,0,1,1,8,0,155
HSPA1L,14,0,18,8,0,13,0,1,3,55,0,92,9,0,22,0,0,11,5,0,16,12,0,12,3,0,18,4,0,6,1,0,3,3,0,3,4,0,12,0,0,6,13,0,41,0,0,2,0,0,6,10,0,15,8,0,8,0,0,5,2,0,2,0,0,8,322,322,4,14,5,8,2,-1,37,55,13,9,11,0,11,5,0,12,15,3,2,4,2,1,0,3,8,4,6,0,28,13,2,0,6,0,5,10,0,8,5,0,0,2,8,0,150
