 GeneName,HN5_42.4℃(from 39.5±0.2°C):No_description.,HN5_39℃:60min.,HN5_42℃:30min.,HN5_38℃:120min/day_3days,HN5_42℃:60min.,HN5_43℃:45min.,HN5_42℃:45min.,HN5_42℃:135min.,HN5_38℃:720min.,HN5_35 ± 1°C:6d.,HN5_39℃:1440min.,HN5_42℃:20min.,HN5_43℃:25min.,HN5_45℃:60min.,HN5_39℃:180min.,HN5_43℃:30min.,HN5_36℃:120min./day_13days.,HN5_44℃:120min.,HN5_41.5 °C ± 0.2 °C:15min.,HN5_42℃:480min.,HN5_39.5℃:3d.,HN5_43℃:31min.,HN5_43℃:32min.,HN5_43℃:33min.,HN5_43℃:34min.,HN5_43℃:35min.,HN5_44℃_48℃:120min._480min.,HN5_42℃:25min.,HN5_42℃:40min.,HN5_42℃:12min.,HN5_42℃:2.5min.,HN5_45℃:15min.
Hspa1b,14,2,13,0,20,4,3,3,0,2,2,7,3,5,0,21,22,5,4,2,0,0,0,2,1,0,1,4,4,4,-1,2
Hspa1a,15,3,12,0,12,4,3,3,0,2,1,5,3,5,0,21,23,5,4,2,0,0,0,2,2,1,1,3,4,2,-2,1
Dnajb1,12,0,2,0,8,1,1,2,0,0,0,0,0,2,0,21,9,4,1,0,0,0,0,2,1,0,0,1,2,0,0,2
Bag3,12,0,0,0,3,0,1,3,0,0,1,0,0,2,0,16,4,4,1,0,0,0,0,2,1,0,1,0,2,0,-2,0
Hsph1,14,0,1,0,5,0,1,3,0,1,1,0,0,0,0,13,10,4,0,1,0,0,0,2,2,0,1,1,3,2,-2,1
Hspb1,18,3,3,-1,9,4,2,3,0,0,1,5,3,5,1,20,15,4,2,2,0,0,0,2,1,0,1,4,4,0,0,0
Fos,15,-4,11,0,6,1,2,1,0,0,0,4,3,0,0,-2,4,1,1,0,0,0,0,0,1,0,0,2,2,3,0,0
Cryab,3,1,1,0,3,0,0,0,0,0,0,1,3,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-2,0
Hspa1l,4,0,4,0,1,4,0,0,0,0,0,0,0,0,0,20,0,1,1,1,0,0,0,0,0,0,0,-1,-1,0,-2,0
Zfand2a,3,0,2,0,4,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-1,1,0,-2,0
Rrad,6,0,1,0,0,0,0,0,0,0,0,7,2,2,0,-1,-1,2,0,1,0,0,0,0,0,0,0,0,1,0,-2,0
Dnajb4,10,0,1,0,3,0,0,1,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,1,0,0,0,-2,0,0,-2,1
Atf3,16,2,2,0,13,2,3,3,0,0,0,9,3,2,0,11,2,2,1,0,1,0,0,2,1,0,0,0,4,0,-1,0
Dedd2,4,0,0,0,5,0,2,3,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,-2,1
Dnaja4,11,0,0,0,3,1,2,3,0,0,0,0,0,2,0,5,5,2,1,0,0,0,0,2,2,0,0,-2,-1,-2,0,1
Serpinh1,10,1,0,0,1,0,0,1,-1,0,0,0,0,0,0,2,1,0,0,0,-1,0,0,0,0,0,0,1,3,0,0,1
Tent5a,2,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0
Hspb8,10,0,0,0,3,0,0,1,0,0,0,8,3,2,0,10,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0
Tex43,0,-1,6,-1,1,1,1,1,0,-1,0,1,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-2,0
Egr2,8,-4,8,0,7,1,0,0,0,0,0,5,1,1,0,-1,1,0,1,-1,0,0,0,1,1,0,0,0,0,1,-2,0
Egr1,15,-4,10,0,2,0,0,0,0,0,0,2,3,5,0,1,0,1,1,0,0,0,0,1,1,0,0,-1,1,4,2,0
Fosb,2,-4,7,0,6,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,-1,0,-1,0,0,-1,0
