Source of Stress (Condition),temperature,time
SRR8392699,44℃,120min.
SRR8392700,44℃,120min.
SRR8392703,44℃,120min.
SRR8392704,44℃,120min.
SRR8392707,44℃,120min.
SRR8392708,44℃,120min.
SRR8392711,44℃,120min.
SRR8392712,44℃,120min.
SRR2522096,42℃,160min.
SRR2522099,42℃,160min.
SRR2522102,42℃,160min.
SRR10129832,43℃,60min.
SRR13436541,43℃,60min.
SRR13436542,43℃,60min.
SRR13436543,43℃,60min.
SRR7309387,43℃,30min.
SRR9029562,43℃,60min.
SRR9029564,43℃,60min.
SRR9029566,43℃,60min.
SRR9029563,43℃,60min.
SRR9029565,43℃,60min.
SRR9029567,43℃,60min.
SRR3309259,45℃,30min.
SRR3309260,45℃,30min.
SRR3309261,45℃,30min.
SRR7241962,39℃,1440min.
SRR7241963,39℃,1440min.
SRR7241964,39℃,1440min.
SRR7241965,39℃,1440min.
SRR7241966,39℃,1440min.
SRR7241967,39℃,1440min.
SRR7241968,39℃,1440min.
SRR7241969,39℃,1440min.
SRR7241970,39℃,1440min.
SRR10908166,39℃,240min.
SRR10908167,39℃,240min.
SRR10908168,39℃,240min.
SRR10908163,39℃,240min.
SRR10908164,39℃,240min.
SRR10908165,39℃,240min.
SRR648668,44℃,120min.
SRR648670,44℃,120min.
SRR15177493,43℃,"120min,"
SRR15177494,43℃,120min.
SRR15177495,43℃,"120min,"
SRR15177496,43℃,"120min,"
SRR15177497,43℃,"120min,"
SRR15177498,43℃,120min.
SRR15177499,43℃,"120min,"
SRR18302238,42℃,60min.
SRR18302239,42℃,60min.
SRR18302240,42℃,60min.
SRR18302251,42℃,60min.
SRR18302252,42℃,60min.
SRR18302254,42℃,60min.
SRR18302262,42℃,60min.
SRR18302263,42℃,60min.
SRR18302264,42℃,60min.
SRR18302274,42℃,60min.
SRR18302275,42℃,60min.
SRR18302276,42℃,60min.
SRR7359773,42℃,60min.
SRR7359774,42℃,60min.
SRR7359775,42℃,60min.
SRR7359665,42℃,60min.
SRR7359666,42℃,60min.
SRR7359667,42℃,60min.
SRR7359701,42℃,60min.
SRR7359702,42℃,60min.
SRR7359703,42℃,60min.
SRR7359737,42℃,60min.
SRR7359738,42℃,60min.
SRR7359739,42℃,60min.
SRR7359761,42℃,60min.
SRR7359762,42℃,60min.
SRR7359763,42℃,60min.
SRR7359785,42℃,60min.
SRR7359786,42℃,60min.
SRR7359787,42℃,60min.
SRR7359797,42℃,60min.
SRR7359798,42℃,60min.
SRR7359799,42℃,60min.
SRR7359677,42℃,60min.
SRR7359678,42℃,60min.
SRR7359679,42℃,60min.
SRR7359689,42℃,60min.
SRR7359690,42℃,60min.
SRR7359691,42℃,60min.
SRR7359713,42℃,60min.
SRR7359714,42℃,60min.
SRR7359715,42℃,60min.
SRR7359725,42℃,60min.
SRR7359726,42℃,60min.
SRR7359727,42℃,60min.
SRR7359749,42℃,60min.
SRR7359750,42℃,60min.
SRR7359751,42℃,60min.
SRR12926169,42℃,60min.
SRR12926170,42℃,60min.
SRR12926171,42℃,60min.
SRR12926172,42℃,60min.
SRR12926185,42℃,60min.
SRR12926186,42℃,60min.
SRR12926187,42℃,60min.
SRR12926188,42℃,60min.
SRR12926161,42℃,60min.
SRR12926162,42℃,60min.
SRR12926163,42℃,60min.
SRR12926164,42℃,60min.
SRR12926177,42℃,60min.
SRR12926178,42℃,60min.
SRR12926179,42℃,60min.
SRR12926180,42℃,60min.
SRR19077081,42℃,60min.
SRR19077089,42℃,60min.
SRR19077082,42℃,60min.
SRR19077090,42℃,60min.
SRR19077085,42℃,60min.
SRR19077093,42℃,60min.
SRR19077086,42℃,60min.
SRR19077094,42℃,60min.
SRR12801710,43℃,30min.
SRR12801711,43℃,30min.
SRR11067756,43℃,30min.
SRR11067757,43℃,30min.
SRR11067758,43℃,30min.
SRR12801712,43℃,30min.
SRR12801713,43℃,30min.
SRR12801714,43℃,30min.
SRR11067753,43℃,30min.
SRR11067754,43℃,30min.
SRR11067755,43℃,30min.
SRR16555321,42℃,30min.
SRR16555322,42℃,30min.
SRR16555315,42℃,30min.
SRR16555316,42℃,30min.
SRR16555317,42℃,30min.
SRR16555318,42℃,30min.
SRR17038864,43℃,30min.
SRR17038865,43℃,30min.
SRR17038866,43℃,30min.
SRR11817840,42.5℃,60min.
SRR11817841,42.5℃,60min.
SRR11817842,42.5℃,60min.
SRR11817843,42.5℃,60min.
SRR11817844,42.5℃,60min.
SRR11817845,42.5℃,60min.
SRR11817852,42.5℃,60min.
SRR11817853,42.5℃,60min.
SRR11817854,42.5℃,60min.
SRR11817855,42.5℃,60min.
SRR11817856,42.5℃,60min.
SRR11817857,42.5℃,60min.
SRR9257619,45℃（±0.2),30min.
SRR9257620,45℃（±0.2),30min.
SRR9257621,45℃（±0.2),30min.
SRR9257622,45℃（±0.2),30min.
SRR9257623,45℃（±0.2),30min.
SRR9257624,45℃（±0.2),30min.
SRR9257625,45℃（±0.2),30min.
SRR9257626,45℃（±0.2),30min.
SRR9257627,45℃（±0.2),30min.
SRR9257637,45℃（±0.2),30min.
