Source of Stress (Condition),temperature,time
SRR9601002,45℃,60min.
SRR9601003,45℃,60min.
SRR9601008,45℃,60min.
SRR9601009,45℃,60min.
SRR9601010,45℃,60min.
SRR2068908,39℃,60min.
SRR2068909,39℃,60min.
SRR2068912,39℃,60min.
SRR2068913,39℃,60min.
SRR12044994,39℃,180min.
SRR12044995,39℃,180min.
SRR12044996,39℃,180min.
SRR14119173,39℃,1440min.
SRR14119174,39℃,1440min.
SRR14119175,39℃,1440min.
SRR6439785,42℃,60min.
SRR6439787,42℃,60min.
SRR13125320,42℃,20min.
SRR13125321,42℃,20min.
SRR13125322,42℃,20min.
SRR13125326,42℃,20min.
SRR13125327,42℃,20min.
SRR13125328,42℃,20min.
SRR5558715,44℃,120min.
SRR5558716,44℃,120min.
SRR8713362,42℃,25min.
SRR8713363,42℃,25min.
SRR8713364,42℃,40min.
SRR8713365,42℃,40min.
SRR8713366,42℃,60min.
SRR8713367,42℃,60min.
SRR8713374,42℃,12min.
SRR8713375,42℃,12min.
SRR8713376,42℃,25min.
SRR8713377,42℃,25min.
SRR8713378,42℃,40min.
SRR8713379,42℃,40min.
SRR8713368,42℃,60min.
SRR8713369,42℃,60min.
SRR8713370,42℃,60min.
SRR2144180,42℃,2.5min.
SRR2144181,42℃,2.5min.
SRR2144182,42℃,12min.
SRR2144183,42℃,12min.
SRR2144184,42℃,60min.
SRR2144185,42℃,60min.
SRR2144188,42℃,2.5min.
SRR2144189,42℃,2.5min.
SRR2144190,42℃,12min.
SRR2144191,42℃,12min.
SRR2144192,42℃,60min.
SRR2144193,42℃,60min.
SRR2144196,42℃,2.5min.
SRR2144197,42℃,2.5min.
SRR2144198,42℃,12min.
SRR2144199,42℃,12min.
SRR2144200,42℃,60min.
SRR2144201,42℃,60min.
SRR7458429,42℃,60min.
SRR6262112,42℃,60min.
SRR6262113,42℃,60min.
SRR6262116,42℃,60min.
SRR6262117,42℃,60min.
SRR6262104,42℃,60min.
SRR6262105,42℃,60min.
SRR6262108,42℃,60min.
SRR6262109,42℃,60min.
SRR8494667,42℃,30min.
SRR8494669,42℃,30min.
SRR8494671,42℃,30min.
SRR8494673,42℃,30min.
SRR8494675,42℃,30min.
SRR8494677,42℃,30min.
SRR8494679,42℃,30min.
SRR8494681,42℃,30min.
SRR8494691,42℃,30min.
SRR8494693,42℃,30min.
SRR8494695,42℃,30min.
SRR8494697,42℃,30min.
SRR8494699,42℃,30min.
SRR8494701,42℃,30min.
SRR8494703,42℃,30min.
SRR8494705,42℃,30min.
SRR6439788,42℃,60min.
SRR6439791,42℃,60min.
SRR8494668,42℃,30min.
SRR8494670,42℃,30min.
SRR8494672,42℃,30min.
SRR8494674,42℃,30min.
SRR8494676,42℃,30min.
SRR8494678,42℃,30min.
SRR8494680,42℃,30min.
SRR8494682,42℃,30min.
SRR8494692,42℃,30min.
SRR8494694,42℃,30min.
SRR8494696,42℃,30min.
SRR8494698,42℃,30min.
SRR8494700,42℃,30min.
SRR8494702,42℃,30min.
SRR8494704,42℃,30min.
SRR8494706,42℃,30min.
SRR5098222,42℃,60min.
SRR5098223,42℃,60min.
SRR5098224,42℃,60min.
SRR5098228,42℃,60min.
SRR5098229,42℃,60min.
SRR5098230,42℃,60min.
SRR5076803,43℃,45min.
SRR5076804,43℃,45min.
SRR5076805,43℃,45min.
SRR5076806,43℃,45min.
SRR1787569,42℃,45min.
SRR1787570,42℃,45min.
SRR1787571,42℃,45min.
SRR1787572,42℃,135min.
SRR1787573,42℃,135min.
SRR1787574,42℃,135min.
SRR649750,42℃,480min.
SRR649751,44℃,120min.
SRR649754,44℃,120min.
SRR649758,44℃ followed by 48℃,120min._Followed by_480min.
SRR649756,42℃,480min.
SRR649757,44℃,120min.
SRR3624807,45℃,15min.
SRR3624808,45℃,15min.
SRR17610122,38℃,720min.
SRR17610123,38℃,720min.
SRR17610124,38℃,720min.
SRR8451938,39.5℃,3d.
SRR8451940,39.5℃,3d.
SRR7092927,38℃,120min/day_3days
SRR7092929,38℃,120min/day_3days
SRR10363952,43℃,30min.
SRR10363953,43℃,30min.
SRR10363954,43℃,30min.
SRR10363955,43℃,30min.
SRR10363956,43℃,30min.
SRR10363961,43℃,30min.
SRR10363962,43℃,30min.
SRR10363963,43℃,30min.
SRR10363964,43℃,30min.
SRR10363972,43℃,30min.
SRR10363973,43℃,30min.
SRR10363974,43℃,30min.
SRR10363975,43℃,30min.
SRR10363976,43℃,30min.
SRR10363977,43℃,30min.
SRR10363978,43℃,30min.
SRR10363979,43℃,30min.
SRR17417628,35 ± 1°C,6d.
SRR17417629,35 ± 1°C,6d.
SRR17417630,35 ± 1°C,6d.
SRR17417644,35 ± 1°C,6d.
SRR17417645,35 ± 1°C,6d.
SRR17417632,35 ± 1°C,6d.
SRR17417638,35 ± 1°C,6d.
SRR17417639,35 ± 1°C,6d.
SRR17417640,35 ± 1°C,6d.
SRR8760528,36℃,120min./day_13days.
SRR8760529,36℃,120min./day_13days.
SRR8760530,36℃,120min./day_13days.
SRR8760531,36℃,120min./day_13days.
SRR8760532,36℃,120min./day_13days.
SRR8760533,36℃,120min./day_13days.
SRR8760534,36℃,120min./day_13days.
SRR8760535,36℃,120min./day_13days.
SRR8760544,36℃,120min./day_13days.
SRR8760545,36℃,120min./day_13days.
