GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Hspa1b,119,2,169,0,0,9,2,0,2,48,117,9,0,0,2,18,1,34,15,17,8,0,8,0,8,5,0,20,15,5,242,149
Hspa1a,120,1,169,0,0,9,1,0,2,48,119,9,0,1,1,15,2,34,17,13,0,0,8,8,0,4,0,20,16,4,242,137
Hspb1,92,1,169,0,0,9,0,0,2,76,91,9,0,2,0,14,0,34,20,14,2,0,8,6,2,4,0,20,16,4,242,111
Atf3,65,2,169,0,0,9,0,0,2,102,63,9,0,2,0,11,1,34,22,10,5,0,8,3,5,0,0,20,20,0,242,78
Dnajb1,58,0,169,0,0,9,2,0,2,111,58,9,0,0,2,7,0,34,27,7,2,0,8,6,2,2,0,20,18,2,242,71
Hsph1,51,0,169,1,0,9,1,0,2,118,51,8,1,1,1,10,2,34,22,8,0,0,8,8,0,3,0,20,17,3,242,64
Bag3,47,0,169,0,0,9,0,0,2,122,47,9,0,2,0,4,2,34,28,2,0,0,8,8,0,2,0,20,18,2,242,51
Fos,48,8,169,0,0,9,0,0,2,113,40,9,0,2,0,11,0,34,23,11,0,0,8,8,0,0,0,20,20,0,242,51
Egr1,42,6,169,0,0,9,0,0,2,121,36,9,0,2,0,9,1,34,24,8,0,0,8,8,0,0,0,20,20,0,242,44
Hsp90aa1,29,1,169,0,1,9,2,0,2,139,28,8,-1,0,2,6,0,34,28,6,0,0,8,8,0,2,0,20,18,2,242,37
Hspb8,36,0,169,0,0,9,0,0,2,133,36,9,0,2,0,3,3,34,28,0,0,0,8,8,0,0,0,20,20,0,242,36
Best2,21,0,169,0,0,9,0,0,2,148,21,9,0,2,0,14,0,34,20,14,0,0,8,8,0,0,0,20,20,0,242,35
Dnaja4,38,0,169,0,0,9,1,0,2,131,38,9,0,1,1,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,35
Xirp1,32,5,169,0,0,9,0,0,2,132,27,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,33
Hspa1l,37,1,169,0,0,9,0,0,2,131,36,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,2,0,20,18,2,242,32
Chac1,30,4,169,0,0,9,0,0,2,135,26,9,0,2,0,5,3,34,26,2,0,0,8,8,0,2,0,20,18,2,242,30
Jun,29,4,169,0,0,9,0,0,2,136,25,9,0,2,0,3,1,34,30,2,0,0,8,8,0,1,0,20,19,1,242,28
Egr2,34,7,169,0,0,9,0,0,2,128,27,9,0,2,0,4,2,34,28,2,1,0,8,7,1,0,2,20,18,-2,242,28
Clu,18,2,169,0,0,9,0,0,2,149,16,9,0,2,0,10,2,34,22,8,1,0,8,7,1,2,0,20,18,2,242,27
Acta1,22,3,169,0,0,9,0,0,2,144,19,9,0,2,0,7,1,34,26,6,4,0,8,4,4,0,2,20,18,-2,242,27
Dnaja1,23,0,169,0,1,9,1,0,2,146,23,8,-1,1,1,4,2,34,28,2,0,0,8,8,0,1,0,20,19,1,242,26
Ddit4,27,0,169,0,0,9,0,0,2,142,27,9,0,2,0,0,2,34,32,-2,1,0,8,7,1,0,0,20,20,0,242,26
