human symbol,mouse symbol,human,mouse,Total,HSF1 average peak,HSF2 average peak,PPARGC1A average peak
A1BG,A1bg,3,1,4,0,0,0
A1CF,A1cf,2,0,2,0,0,0
A2M,A2m,1,-6,-5,0,0,0
A2ML1,A2ml1,11,3,14,25.038835,0,0
A3GALT2,A3galt2,7,14,21,0,0,0
A4GALT,A4galt,1,-6,-5,0,0,0
A4GNT,A4gnt,-1,0,-1,0,0,0
AAAS,Aaas,7,-11,-4,60.815534,0,0
AACS,Aacs,6,-3,3,3.475728,0,0
AADAC,Aadac,14,3,17,0,0,0
AADACL2,Aadacl2,0,1,1,0,0,0
AADACL3,Aadacl3,16,0,16,2.864078,0,0
AADACL4,Aadacl4,1,0,1,0,0,0
AADAT,Aadat,1,-3,-2,2.805825,0,0
AAGAB,Aagab,5,1,6,59.184466,0,0
AAK1,Aak1,4,1,5,25.980583,0,0
AAMDC,Aamdc,3,-9,-6,5.446602,0,0
AAMP,Aamp,7,-3,4,7.883495,0,0
AANAT,Aanat,19,-11,8,110.446602,0,0
AAR2,Aar2,0,-4,-4,19.029126,0,0
AARD,Aard,1,6,7,0,0,0
AARS2,Aars2,3,-7,-4,13.262136,0,0
AARSD1,Aarsd1,-3,-7,-10,1.825243,0,0
AASDH,Aasdh,5,-9,-4,4.834951,0,0
AASDHPPT,Aasdhppt,5,-7,-2,3.61165,0,0
AASS,Aass,2,7,9,13.213592,0,0
AATF,Aatf,10,1,11,6.475728,0,0
AATK,Aatk,8,-3,5,10.708738,0,0
ABAT,Abat,14,-4,10,0,0,0
ABCA1,Abca1,5,1,6,0.961165,0,0
ABCA12,Abca12,-5,0,-5,0,0,0
ABCA13,Abca13,3,2,5,0,0,0
ABCA2,Abca2,1,-4,-3,0.796117,0,0
ABCA3,Abca3,7,5,12,35.300971,0,0
ABCA4,Abca4,1,1,2,10.932039,0,0
ABCA5,Abca5,6,-1,5,7.300971,0,0
ABCA6,Abca6,1,5,6,0,0,0
ABCA7,Abca7,4,-5,-1,1.145631,0,0
ABCA9,Abca9,2,-1,1,0,0,0
ABCB10,Abcb10,-1,-5,-6,8.834951,0,0
ABCB11,Abcb11,11,-8,3,0,0,0
ABCB4,Abcb4,26,2,28,0,0,0
ABCB5,Abcb5,-2,0,-2,1.029126,0,0
ABCB6,Abcb6,0,1,1,3.087379,0,0
ABCB7,Abcb7,3,0,3,2.805825,0,0
ABCB8,Abcb8,10,6,16,3.621359,0,0
ABCB9,Abcb9,-4,2,-2,36.61165,0,0
ABCC1,Abcc1,8,1,9,2.223301,0,0
ABCC10,Abcc10,-9,-3,-12,1.349515,0,0
ABCC12,Abcc12,8,-10,-2,6.339806,0,0
ABCC2,Abcc2,9,-4,5,0,0,0
ABCC3,Abcc3,8,-15,-7,5.019417,3.75,0
ABCC4,Abcc4,3,-1,2,1.912621,0,0
ABCC5,Abcc5,7,2,9,44.728155,16.708333,0
ABCC6,Abcc6,-10,-1,-11,0,0,0
ABCC8,Abcc8,9,3,12,0,0,0
ABCC9,Abcc9,3,-1,2,0,0,0
ABCD1,Abcd1,1,-6,-5,52.300971,0,0
ABCD2,Abcd2,1,-1,0,0,0,0
