,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
8867,Hspa1b,184,172,152,130,14,11,3,1,242,44,59,87,111,170,161,149,129
8866,Hspa1a,171,160,140,117,13,10,3,1,242,58,72,99,124,158,150,137,116
8875,Hspb1,171,153,112,78,11,6,1,0,242,60,83,129,164,160,147,111,78
7051,Gm20481,110,105,95,76,18,17,7,3,242,114,120,140,163,92,88,88,73
1627,Atf3,158,134,81,42,18,10,3,1,242,66,98,158,199,140,124,78,41
4737,Dnajb1,142,123,71,47,22,12,0,0,242,78,107,171,195,120,111,71,47
8889,Hsph1,157,131,66,37,16,12,2,0,242,69,99,174,205,141,119,64,37
1871,Bag3,132,100,53,12,18,11,2,1,242,92,131,187,229,114,89,51,11
6152,Fos,137,115,59,32,36,23,8,6,242,69,104,175,204,101,92,51,26
5083,Edn1,150,123,46,12,22,11,1,0,242,70,108,195,230,128,112,45,12
5151,Egr1,126,101,51,29,35,20,7,6,242,81,121,184,207,91,81,44,23
14612,Phlda1,131,99,43,25,18,12,1,0,242,93,131,198,217,113,87,42,25
2741,Ccnb1ip1,113,96,57,42,59,43,19,11,242,70,103,166,189,54,53,38,31
8859,Hsp90aa1,131,110,39,15,29,17,2,0,242,82,115,201,227,102,93,37,15
8881,Hspb8,123,93,39,14,13,6,3,0,242,106,143,200,228,110,87,36,14
9836,Kcnk4,107,89,40,16,25,13,5,3,242,110,140,197,223,82,76,35,13
2012,Best2,88,76,35,16,21,10,0,0,242,133,156,207,226,67,66,35,16
4736,Dnaja4,115,83,40,16,30,19,5,2,242,97,140,197,224,85,64,35,14
6019,Fgf21,82,78,37,13,30,21,4,0,242,130,143,201,229,52,57,33,13
21468,Xirp1,82,66,39,20,23,15,6,0,242,137,161,197,222,59,51,33,20
7500,Gm44505,89,74,43,31,49,34,11,4,242,104,134,188,207,40,40,32,27
8868,Hspa1l,99,76,39,21,46,32,7,2,242,97,134,196,219,53,44,32,19
7906,Gml,55,51,37,32,23,19,7,3,242,164,172,198,207,32,32,30,29
2732,Ccn1,112,88,34,14,29,15,4,1,242,101,139,204,227,83,73,30,13
3224,Chac1,104,84,37,14,41,30,7,0,242,97,128,198,228,63,54,30,14
14613,Phlda2,69,56,32,18,46,33,3,1,242,127,153,207,223,23,23,29,17
11915,Myo1g,90,68,36,19,52,39,7,3,242,100,135,199,220,38,29,29,16
19152,Tex52,80,62,32,14,46,33,3,1,242,116,147,207,227,34,29,29,13
9727,Jun,143,111,33,16,14,9,5,4,242,85,122,204,222,129,102,28,12
5152,Egr2,120,99,39,13,40,27,11,9,242,82,116,192,220,80,72,28,4
11068,Mc4r,64,50,27,17,4,1,0,0,242,174,191,215,225,60,49,27,17
3516,Clu,100,79,31,20,24,17,4,0,242,118,146,207,222,76,62,27,20
646,Acta1,90,68,33,18,35,24,6,2,242,117,150,203,222,55,44,27,16
15607,Pspn,70,55,40,23,32,25,13,8,242,140,162,189,211,38,30,27,15
4733,Dnaja1,107,88,29,5,22,11,3,0,242,113,143,210,237,85,77,26,5
7178,Gm21738,63,59,46,27,44,35,20,13,242,135,148,176,202,19,24,26,14
4400,Ddit4,109,73,28,9,30,18,2,1,242,103,151,212,232,79,55,26,8
17180,Serpinf2,106,90,28,9,31,22,2,1,242,105,130,212,232,75,68,26,8
10762,Ly6g6c,85,67,38,12,49,37,12,7,242,108,138,192,223,36,30,26,5
8343,H1f8,54,52,29,15,24,23,4,1,242,164,167,209,226,30,29,25,14
10630,Lrrc26,64,55,27,10,33,22,3,2,242,145,165,212,230,31,33,24,8
14921,Pmaip1,107,90,28,8,32,20,4,0,242,103,132,210,234,75,70,24,8
7907,Gml2,46,42,27,20,17,13,3,2,242,179,187,212,220,29,29,24,18
7438,Gm38100,63,54,24,20,13,11,0,0,242,166,177,218,222,50,43,24,20
15520,Prtn3,82,68,30,18,34,27,6,1,242,126,147,206,223,48,41,24,17
1367,Arc,120,92,34,14,29,18,11,7,242,93,132,197,221,91,74,23,7
6913,Gm14406,59,55,40,29,39,30,17,10,242,144,157,185,203,20,25,23,19
10590,Lrg1,79,59,28,13,45,32,5,2,242,118,151,209,227,34,27,23,11
7589,Gm49356,87,72,53,43,56,48,30,23,242,99,122,159,176,31,24,23,20
10332,Lbx2,84,73,26,6,45,30,4,1,242,113,139,212,235,39,43,22,5
6815,Gm11563,39,38,27,14,9,8,5,2,242,194,196,210,226,30,30,22,12
11714,Mt2,80,63,28,19,57,31,6,3,242,105,148,208,220,23,32,22,16
4450,Dedd2,114,82,24,6,19,5,2,1,242,109,155,216,235,95,77,22,5
9394,Il1r2,80,71,32,12,46,35,10,4,242,116,136,200,226,34,36,22,8
3049,Cebpb,108,83,22,7,30,10,0,0,242,104,149,220,235,78,73,22,7
3005,Cdkn1a,89,60,23,9,26,6,1,0,242,127,176,218,233,63,54,22,9
17141,Serpina3n,73,53,22,12,36,14,0,0,242,133,175,220,230,37,39,22,12
8886,Hspe1,118,82,22,8,13,5,0,0,242,111,155,220,234,105,77,22,8
21398,Wfdc18,63,56,34,23,26,19,12,4,242,153,167,196,215,37,37,22,19
10769,Ly6k,65,54,24,16,25,17,2,0,242,152,171,216,226,40,37,22,16
6499,Gdf15,92,69,28,7,50,28,6,1,242,100,145,208,234,42,41,22,6
9002,Ifitm5,106,91,36,10,42,34,14,7,242,94,117,192,225,64,57,22,3
6962,Gm16253,71,52,31,12,47,37,9,2,242,124,153,202,228,24,15,22,10
10230,Krtap4-16,49,45,21,14,6,4,0,0,242,187,193,221,228,43,41,21,14
19711,Tnfrsf23,86,70,26,8,51,28,5,0,242,105,144,211,234,35,42,21,8
10512,Lman1l,88,71,24,3,31,17,3,0,242,123,154,215,239,57,54,21,3
4186,Cyp2e1,104,73,27,12,42,25,6,2,242,96,144,209,228,62,48,21,10
5785,Fam71d,91,72,32,9,45,40,11,3,242,106,130,199,230,46,32,21,6
12245,Nfil3,117,87,23,2,23,10,2,0,242,102,145,217,240,94,77,21,2
18278,Spp1,83,64,26,13,39,23,5,5,242,120,155,211,224,44,41,21,8
9548,Iqcf1,53,46,31,12,20,17,10,1,242,169,179,201,229,33,29,21,11
14782,Pla2g4c,89,64,23,4,29,14,2,0,242,124,164,217,238,60,50,21,4
4511,Defb42,42,39,26,14,27,22,5,3,242,173,181,211,225,15,17,21,11
10195,Krtap1-5,43,41,25,10,18,17,5,1,242,181,184,212,231,25,24,20,9
16772,S100a9,47,42,29,19,32,27,9,7,242,163,173,204,216,15,15,20,12
8999,Ifitm10,71,55,24,15,52,36,4,0,242,119,151,214,227,19,19,20,15
4744,Dnajb4,97,74,24,8,25,14,4,2,242,120,154,214,232,72,60,20,6
